"doffin_referanse";"navn";"publisert_av";"kunngjoring_type";"kunngjoring_dato";"tilbudsfrist_dato";"lenke";"cpv";"estimert_totalverdi";"kunngjort_uke";"kunngjort_år";"fristlengde";"kunngjort_ukedag"
"2022-315368";"Oppdrag innen kommunikasjon og strategier for Østfold Avfallssortering IKS";"ØSTFOLD AVFALLSSORTERING IKS";"Kunngjøring av konkurranse";"2022-03-19";"2022-04-29";"/Notice/Details/2022-315368";"79340000";"65000000";"12";"2022";"41";"lør\."
"2022-353584";"Anskaffelse transport slam";"Movar Iks";"Kunngjøring av konkurranse";"2022-03-19";"2022-04-29";"/Notice/Details/2022-353584";"90513700";"80000000";"12";"2022";"41";"lør\."
"2022-399746";"Vev-fremføringsinstrument til histologisk undersøkelse for levering til Helse Bergen HF";"SYKEHUSINNKJØP HF";"Kunngjøring av konkurranse";"2022-03-19";"2022-04-21";"/Notice/Details/2022-399746";"38000000";NA;"12";"2022";"33";"lør\."
"2022-307651";"Leasing av elsykler";"Asker kommune";"Kunngjøring av konkurranse";"2022-03-19";"2022-04-19";"/Notice/Details/2022-307651";"66114000";"100000000";"12";"2022";"31";"lør\."
"2022-365649";"Mikropartikler til kjemoembolisering av lever for Oslo universitetssykehus HF";"SYKEHUSINNKJØP HF";"Kunngjøring av konkurranse";"2022-03-19";"2022-04-22";"/Notice/Details/2022-365649";"24322300";"40000000";"12";"2022";"34";"lør\."
"2022-392470";"Prekvalifisering - Rammeavtale for kjøp av fasilitetstjenester";"ARBEIDS- OG VELFERDSETATEN";"Kunngjøring av konkurranse";"2022-03-19";"2022-04-21";"/Notice/Details/2022-392470";"90911000";"7200000000";"12";"2022";"33";"lør\."
"2022-388374";"Anskaffelse - Transporttjenester for skoler, barnehager og kultur med flere.";"Alver kommune";"Kunngjøring av konkurranse";"2022-03-19";"2022-05-04";"/Notice/Details/2022-388374";"60100000";NA;"12";"2022";"46";"lør\."
"2022-390356";"Møbelsnekkertjenester - Rammeavtale";"NORGES BANK";"Kunngjøring av konkurranse";"2022-03-19";"2022-04-22";"/Notice/Details/2022-390356";"71500000";"30000000";"12";"2022";"34";"lør\."
"2022-392251";"Avtale om skjøtsel og vedlikehold av grøntanlegg ved Statsbyggs eiendommer i Ørsta og Volda";"STATSBYGG";"Kunngjøring av konkurranse";"2022-03-19";"2022-04-19";"/Notice/Details/2022-392251";"77300000";NA;"12";"2022";"31";"lør\."
"2022-362254";"Anskaffelse av rammeavtale for reisebyråtjenester";"NOREF SENTER FOR INTERNASJONAL KONFLIKTLØSNING";"Kunngjøring av konkurranse";"2022-03-19";"2022-04-25";"/Notice/Details/2022-362254";"63510000";"360000000";"12";"2022";"37";"lør\."
"2022-392535";"Samlekontrakt Innlandet, øst";"INNLANDET FYLKESKOMMUNE";"Kunngjøring av konkurranse";"2022-03-19";"2022-05-04";"/Notice/Details/2022-392535";"45000000";"1000000000";"12";"2022";"46";"lør\."
"2022-301484";"Bysykkel Grenland";"Vestfold og Telemark fylkeskommune";"Kunngjøring av konkurranse";"2022-03-19";"2022-04-22";"/Notice/Details/2022-301484";"50100000";NA;"12";"2022";"34";"lør\."
"2022-302280";"Rammeavtale for kjøp av Reinhaldsartiklar og Tørk INSS 2022";"Kinn kommune";"Kunngjøring av konkurranse";"2022-03-19";"2022-04-25";"/Notice/Details/2022-302280";"39830000";"500000000";"12";"2022";"37";"lør\."
"2022-374961";"Anskaffelse - Nordhordland kompetanseregion - NKR Leiarutvikling barnehage og skule";"Alver kommune";"Kunngjøring av konkurranse";"2022-03-19";"2022-05-03";"/Notice/Details/2022-374961";"80000000";NA;"12";"2022";"45";"lør\."
"2022-378757";"Anskaffelse av elektrisk gravemaskin";"KRISTIANSAND KOMMUNE";"Kunngjøring av konkurranse";"2022-03-19";"2022-04-26";"/Notice/Details/2022-378757";"43261000";NA;"12";"2022";"38";"lør\."
"2022-341210";"Kjemikalier til Gardermoen og Kløfta renseanlegg - Ullensaker kommune";"Øvre Romerike Innkjøpssamarbeid";"Kunngjøring av konkurranse";"2022-03-19";"2022-04-21";"/Notice/Details/2022-341210";"24000000";NA;"12";"2022";"33";"lør\."
"2022-353381";"Elektrisk gravemaskin";"Bodø kommune";"Kunngjøring av konkurranse";"2022-03-19";"2022-04-26";"/Notice/Details/2022-353381";"43261000";"600000000";"12";"2022";"38";"lør\."
"2022-399543";"Fv. 359 Kaste - Stoadalen";"Vestfold og Telemark fylkeskommune";"Kunngjøring av konkurranse";"2022-03-19";"2022-06-08";"/Notice/Details/2022-399543";"45233000";NA;"12";"2022";"81";"lør\."
"2022-372903";"Rammeavtale - Rådgivningstjenester innen energiledelse og Enøk";"KRISTIANSAND KOMMUNE";"Kunngjøring av konkurranse";"2022-03-19";"2022-04-22";"/Notice/Details/2022-372903";"71314300";NA;"12";"2022";"34";"lør\."
"2022-388434";"Elektronisk stoffkartotek";"Bærum kommune";"Kunngjøring av konkurranse";"2022-03-18";"2022-04-22";"/Notice/Details/2022-388434";"72320000";NA;"11";"2022";"35";"fre\."
"2022-387651";"GS-vei langs Oserødveien fra Torød skole til Oserødveien 149";"Færder kommune";"Kunngjøring av konkurranse";"2022-03-18";"2022-03-30";"/Notice/Details/2022-387651";"45233300";"25000000";"11";"2022";"12";"fre\."
"2022-358692";"Entreprise - 420429 Sjøskogbekken pumpestasjon - ledningsanlegg Ranheim idrettsplass";"Trondheim kommune";"Kunngjøring av konkurranse";"2022-03-18";"2022-04-20";"/Notice/Details/2022-358692";"45232152";"220000000";"11";"2022";"33";"fre\."
"2022-344804";"Prosjektsertifisering for ansatte i NAV Oslo";"ARBEIDS- OG VELFERDSETATEN";"Kunngjøring av konkurranse";"2022-03-18";"2022-05-02";"/Notice/Details/2022-344804";"79421000";"7200000";"11";"2022";"45";"fre\."
"2022-323092";"Røyrvik vannbehandlingsanlegg - prosessutstyr";"Røyrvik kommune";"Kunngjøring av konkurranse";"2022-03-18";"2022-04-21";"/Notice/Details/2022-323092";"45351000";NA;"11";"2022";"34";"fre\."
"2022-313432";"Kompostverket - komposteringsreaktorer med tilhørende maskininnstallasjoner";"Veas Marked AS";"Kunngjøring av konkurranse";"2022-03-18";"2022-04-13";"/Notice/Details/2022-313432";"45300000";NA;"11";"2022";"26";"fre\."
"2022-309724";"Videreutdanningstilbud for lærere og yrkesfaglærere";"Utdanningsdirektoratet";"Kunngjøring av konkurranse";"2022-03-18";"2022-06-08";"/Notice/Details/2022-309724";"80430000";NA;"11";"2022";"82";"fre\."
"2022-314236";"22/00362 Anskaffelse av density profiler";"NIBIO, Norsk institutt for bioøkonomi";"Kunngjøring av konkurranse";"2022-03-18";"2022-03-31";"/Notice/Details/2022-314236";"38400000";"5000000";"11";"2022";"13";"fre\."
"2022-364039";"Lekeskulpturer på Risenga";"Asker kommune";"Kunngjøring av konkurranse";"2022-03-18";"2022-04-08";"/Notice/Details/2022-364039";"45112723";"50000000";"11";"2022";"21";"fre\."
"2022-397222";"RFI - Rammeavtale for idrettsutstyr";"Tromsø kommune";"Kunngjøring av konkurranse";"2022-03-18";"2022-03-28";"/Notice/Details/2022-397222";"37400000";NA;"11";"2022";"10";"fre\."
"2022-323995";"Kjøp av gravemaskin 26 - 30 tonnn";"Voss Herad";"Kunngjøring av konkurranse";"2022-03-18";"2022-04-20";"/Notice/Details/2022-323995";"43261000";NA;"11";"2022";"33";"fre\."
"2022-339854";"Salten krematorium - Totalentreprise bygg";"Bodø kommune";"Kunngjøring av konkurranse";"2022-03-18";"2022-04-28";"/Notice/Details/2022-339854";"45000000";"85000000";"11";"2022";"41";"fre\."
"2022-380521";"Anbud- kosting kommunale veger og areal Vestnes kommune";"Vestnes kommune";"Kunngjøring av konkurranse";"2022-03-18";"2022-04-06";"/Notice/Details/2022-380521";"90610000";NA;"11";"2022";"19";"fre\."
"2022-315013";"Havnepromenade Lyngseidet";"Lyngen Kommune";"Kunngjøring av konkurranse";"2022-03-18";"2022-04-22";"/Notice/Details/2022-315013";"45241100";NA;"11";"2022";"35";"fre\."
"2022-382029";"Dekkelegging Vestland 2022: Ytre Sunnfjord, Nordfjord og Sogn";"Vestland fylkeskommune";"Kunngjøring av konkurranse";"2022-03-18";"2022-04-22";"/Notice/Details/2022-382029";"45000000";NA;"11";"2022";"35";"fre\."
"2022-330123";"Kraftarm til Met. lab. II";"Institutt for Energiteknikk";"Kunngjøring av konkurranse";"2022-03-18";"2022-04-15";"/Notice/Details/2022-330123";"42150000";"200000000";"11";"2022";"28";"fre\."
"2022-354763";"Kvalifisering: Prosedyrepakker operasjon til Helse Bergen";"SYKEHUSINNKJØP HF";"Kunngjøring av konkurranse";"2022-03-18";"2022-04-21";"/Notice/Details/2022-354763";"33141620";"362000000";"11";"2022";"34";"fre\."
"2022-387458";"Leie av sengetøy og håndklær";"Vygruppen AS";"Kunngjøring av konkurranse";"2022-03-18";"2022-04-25";"/Notice/Details/2022-387458";"98310000";"105000000";"11";"2022";"38";"fre\."
"2022-369445";"Dekkelegging Vestland 2022: Sunnfjord Sør og Hafs";"Vestland fylkeskommune";"Kunngjøring av konkurranse";"2022-03-18";"2022-04-22";"/Notice/Details/2022-369445";"45000000";NA;"11";"2022";"35";"fre\."
"2022-358555";"Dekkelegging Vestland 2022: Voss, Hardanger og Sunnhordland";"Vestland fylkeskommune";"Kunngjøring av konkurranse";"2022-03-18";"2022-04-22";"/Notice/Details/2022-358555";"45000000";NA;"11";"2022";"35";"fre\."
"2022-339153";"Dekkelegging Vestland 2022: Asola, BOA og Nordhordland";"Vestland fylkeskommune";"Kunngjøring av konkurranse";"2022-03-18";"2022-04-22";"/Notice/Details/2022-339153";"45000000";NA;"11";"2022";"35";"fre\."
"2022-380822";"Monserud renseanlegg - detaljprosjektering elektroteknisk utstyr";"Ringerike Kommune";"Kunngjøring av konkurranse";"2022-03-18";"2022-04-08";"/Notice/Details/2022-380822";"71320000";NA;"11";"2022";"21";"fre\."
"2022-310122";"MR kompatibelt pasientovervåkingssystem til Helse Fonna HF";"SYKEHUSINNKJØP HF";"Kunngjøring av konkurranse";"2022-03-18";"2022-04-22";"/Notice/Details/2022-310122";"33100000";NA;"11";"2022";"35";"fre\."
"2022-360938";"Rammeavtale for kjøp av medisinsk forbruksmateriell og inkontinensutstyr";"Bærum kommune";"Kunngjøring av konkurranse";"2022-03-18";"2022-04-22";"/Notice/Details/2022-360938";"33140000";"2400000000";"11";"2022";"35";"fre\."
"2022-369379";"Rammeavtale på renholdstjenester ved Høgskulen i Volda";"Høgskulen i Volda";"Kunngjøring av konkurranse";"2022-03-18";"2022-04-13";"/Notice/Details/2022-369379";"90900000";NA;"11";"2022";"26";"fre\."
"2022-312687";"R01228 Inspeksjon, service og vedlikehold av høytrykkspylere, delevaskere og sentralstøvsugere i region øst";"Forsvarsbygg";"Kunngjøring av konkurranse";"2022-03-18";"2022-04-22";"/Notice/Details/2022-312687";"50511100";"13000000";"11";"2022";"35";"fre\."
"2022-351175";"Elektrisk kjøretøy med påbygg";"Trondheim Renholdsverk AS";"Kunngjøring av konkurranse";"2022-03-18";"2022-04-21";"/Notice/Details/2022-351175";"34100000";"70000000";"11";"2022";"34";"fre\."
