"doffin_referanse";"navn";"publisert_av";"kunngjoring_type";"kunngjoring_dato";"tilbudsfrist_dato";"lenke";"cpv";"beskrivelse";"estimert_totalverdi";"kunngjort_uke";"kunngjort_år";"fristlengde"
"2022-313886";"Evaluering av reglene om konkurransebegrensende avtaler i arbeidsforhold";"Arbeids- og inkluderingsdepartementet ";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-21";"/Notice/Details/2022-313886";"73000000";"Arbeids- og inkluderingsdepartementet ønsker å inngå en utredningsavtale for å evaluere effekter av innføringen av lovreguleringen av konkurransebegrensende avtaler i arbeidsmiljøloven kapittel 14 A, fem år etter at reglene trådte i kraft også for allerede inngåtte avtaler.";"1500000";"11";"2022";"35"
"2022-364984";"Evaluering av Investinor";"Nærings- og fiskeridepartementet ";"Kunngjøring av konkurranse";"2022-03-17";"2022-04-20";"/Notice/Details/2022-364984";"72221000";"Formålet med anskaffelsen er å gi departementet bedre grunnlag for videre oppfølging av Investinor og anvendelsen av næringspolitiske virkemidler rettet mot kapitaltilgang for bedrifter i tidlig fase. Evalueringen skal gi en helhetlig vurdering av selskapets ulike mandater og roller, enkeltvis og som en helhet, herunder innsatsen rettet mot ulike faser og samarbeidet med og grensesnittet mot andre aktører i virkemiddelapparatet.
Det er et overordnet spørsmål om Investinors virksomhet er egnet til å bedre kapitaltilgangen i markedet for tidligfasekapital for norske bedrifter. I den grad situasjonen beskrevet av Kapitaltilgangsutvalget har vedvart og indikerer markedssvikt, bør evalueringen ta stilling til hvor stor svikten er.
";"1500000";"11";"2022";"34"
"2022-389096";"Utredningsoppdrag ""Kommunen som innkjøper""";"Kompetansesenter for distriktsutvikling - Distriktssenteret ";"Kunngjøring av konkurranse";"2022-03-16";"2022-04-25";"/Notice/Details/2022-389096";"73200000";"Distriktssenteret har behov for kunnskap om hvordan kommunene kan bruke innkjøpsrollen til å ta samfunnssvar. Vi ønsker en eksempelsamling om kommunen som innkjøper, der det undersøkes hvilke gevinster som skapes, betingelse for gevinster, og hvilket mulighetsrom kommunene har.";"400000";"11";"2022";"40"
"2022-382802";"Tilbud til barn med særskilt behov- kartlegging og komparativ analyse";"Oslo kommune v/ Bydel Bjerke ";"Kunngjøring av konkurranse";"2022-03-15";"2022-03-30";"/Notice/Details/2022-382802";"73200000";"Kartlegging og komparativ analyse av ""Tilbud til barn med særskilte behov"" tilknyttet til Delprogram for oppvekst og utdanning";"300000";"11";"2022";"15"
"2022-303346";"Sambruk og naturforbedring i nordiske havvindparker";"Nordic Energy Research ";"Kunngjøring av konkurranse";"2022-03-13";"2022-05-03";"/Notice/Details/2022-303346";"73200000";"Undersøke hvilke anbudsinstrumenter og partnerskap som trengs for å legge til rette for sambruk/naturforbedring i nordiske havvindparker, med sikte på å bistå myndighetene med å definere krav til konsesjon og plassering.";"550000";"11";"2022";"51"
"2022-303150";"Koronapandemiens langsiktige konsekvenser for elever på ungdomstrinnet";"Utdanningsdirektoratet ";"Kunngjøring av konkurranse";"2022-03-12";"2022-04-11";"/Notice/Details/2022-303150";"73110000";"Utdanningsdirektoratet har behov for kunnskap om konsekvenser av koronapandemien for elever i grunnopplæringen. Overordnet har utlysningen til formål å få innhentet bedre kunnskap om opplæringssituasjonen for elever på ungdomstrinnet i perioden med pandemi, og om hvordan skolene arbeider for å kompensere for negative konsekvenser for elevene. Dette gjelder både tiltak som settes i verk for å reetablere en god skolehverdag for alle, og om særskilte tiltak rettet mot elever som har opplevd særlig negative konsekvenser. 
Klikk her https://permalink.mercell.com/174909777.aspx
";NA;"11";"2022";"30"
"2022-329394";"Konsulenttjenester innen evalueringer, analyser og utredninger";"Bærum kommune ";"Kunngjøring av konkurranse";"2022-03-12";"2022-04-25";"/Notice/Details/2022-329394";"79300000";"Under kompetanseområdet evalueringer, analyser og utredninger er det behov for kompetanse innen en rekke fagområder, herunder bl.a.:
- Analysearbeid (for eksempel samfunnsøkonomisk analyse)
- Statistikk og utvikling
- Evalueringer - av bl.a. prosjekter, tiltak, organisering mm, eksempler
- Utredninger
- Kartlegginger og undersøkelser (for eksempel innen klima, sirkulærøkonomi og bruker- og innbyggermedvirkning)
Klikk her https://permalink.mercell.com/174939592.aspx
";"50000000";"11";"2022";"44"
"2022-328815";"Rammeavtale - rådgivningstjenester byggesaksbehandling etter plan- og bygningsloven";"Kragerø kommune ";"Kunngjøring av konkurranse";"2022-03-12";"2022-04-11";"/Notice/Details/2022-328815";"71248000";"Formålet med anskaffelsen er å inngå rammeavtale med én leverandør for å dekke Kragerø kommunes behov for rådgivertjenester innenfor området byggesaksbehandling. Leverandøren skal bistå med å behandle bygge – og delesaker, dispensasjonssøknader, klager og evt. ulovlighetsoppfølging.
Rammeavtalens verdi estimeres til NOK 5 000 000 ekskl. mva. over avtaleperioden inkludert opsjoner. Den maksimale verdien av rammeavtalen settes til NOK 6 000 000 ekskl. mva. over avtaleperioden inkludert opsjoner.
";"6000000";"11";"2022";"30"
"2022-360966";"Evaluering av sektorvise responsmiljøer";"Justis- og beredskapsdepartementet ";"Kunngjøring av konkurranse";"2022-03-11";"2022-04-08";"/Notice/Details/2022-360966";"73200000";"For å understøtte sektorene og virksomhetene i deres arbeid med å etablere responsmiljøer, og for å klargjøre forholde mellom virksomhet, sektorresponsmiljø og det nasjonale responsmiljøet hos Nasjonal sikkerhetsmyndighet (NSM), ble det i 2017 gitt ut et Rammeverk for håndtering av IKT-sikkerhetshendelser. Rammeverket beskriver den nasjonale strukturen («modell») for varsling og håndtering av IKT-sikkerhetshendelser, og legger til grunn at responsmiljøene i sektorene skal ha en sentral rolle i hendelseshåndteringen.
En rekke sektorer har etablert egne responsmiljøer eller inngått ulike former for samarbeid rundt dette. Etableringen har ikke vært strengt regulert og forskjellige sektorer har valgt ulike løsninger basert på ulike sektorers behov og særegenhet. Som følge av dette varierer modenhet, omfang, kompetanse og innretning på miljøene stort.
JD ønsker derfor evaluere ordningen med sektorvise responsmiljøer.
";"1000000";"10";"2022";"28"
"2022-300620";"Anskaffelse av rammeavtale for konsulenttjenester innen Optimizely";"Statsforvalterens fellestjenester ";"Kunngjøring av konkurranse";"2022-03-09";"2022-04-06";"/Notice/Details/2022-300620";"72000000";"Statsforvalterens fellestjenester skal inngå rammeavtale med én leverandør på konsulenttjenester for utvikling til Optimizely.
Rammeavtalen vil inngås med én leverandør, og har en varighet på 2 år med mulighet for fornyelse i ytterligere 1 + 1 år.
Rammeavtalen anslås å ha et omfang på 2,5 MNOK årlig, totalt 10 MNOK ekskl. mva. over avtaleperioden inklusive opsjoner.
På bakgrunn av usikkerhet i budsjett, ressurssituasjon mv. under avtaleperioden, vil avtalen være gyldig for et uttak på inntil 20 MNOK ekskl. mva. over avtaleperioden på fire år.
";"20000000";"10";"2022";"28"
"2022-321114";"2022-27 Kompetansemegling";"Møre og Romsdal Fylkeskommune ";"Kunngjøring av konkurranse";"2022-03-09";"2022-04-07";"/Notice/Details/2022-321114";"79411100";"MobPro i Møre og Romsdal, er et program for å mobilisere til forskningsbasert innovasjon i regionen. Det skal bidra til økt verdiskaping, konkurransekraft, kunnskap og omstillingsevne. Forskrift om Kommunal- og distriktsdepartementets tilskudd til Forskningsbasert innovasjon i regionene FORREGION forvaltet av fylkeskommunene, er førende for arbeidet i programmet som har tre virkemidler:
- Kompetansemegling
- Forprosjekt i bedrift eller kommune
- Mobilitet for utveksling av fagfolk mellom akademia og næringsliv/kommunesektoren
Se mer informasjon om oppdraget i Kravspesifikasjonen (Vedlegg 2).
";"5700000";"10";"2022";"29"
"2022-359995";"Konsulent/prosjektleder til Klima-, energi- og miljøplan 2030 for Hustadvika kommune";"Hustadvika kommune ";"Kunngjøring av konkurranse";"2022-03-04";"2022-03-31";"/Notice/Details/2022-359995";"73300000";"Det skal lages en temaplan når det gjelder klima-, energi- og miljø 2030 for Hustadvika kommune. Hustadvika kommune ønsker å leie inn konsulent/prosjektleder til planarbeidet";NA;"9";"2022";"27"
"2022-399428";"Utvikle likeverdige og virksomme tiltak mot vold og diskriminering";"Barne-, ungdoms- og familiedirektoratet ";"Kunngjøring av konkurranse";"2022-03-03";"2022-04-25";"/Notice/Details/2022-399428";"73000000";"Oppdraget omfatter åtte ulike delprosjekter innen vold og diskriminering, fire som er evalueringer, fire som er mer eksplorerende studier.
Oppdraget er et FoU-proskekt etter unntaksbestemmelsene i anskaffelsesforskriften.
";"17000000";"9";"2022";"53"
"2022-362764";"Kartlegging av støtteapparatets veiledning av foreldre om døve barns språkutvikling og tilgang til tegnspråk";"Kultur- og likestillingsdepartementet ";"Kunngjøring av konkurranse";"2022-03-03";"2022-03-30";"/Notice/Details/2022-362764";"73000000";"Formålet med oppdraget er å få kartlagt hvordan foreldre til døve og hørselshemmede barn opplever å bli møtt av støtteapparatet (med vekt på helse- og opplæringssektoren) og hvilken veiledning og hvilke råd ulike aktører gir til foreldre om norsk tegnspråk fra barna er nyfødte. Videre er oppdraget å kartlegge støtteapparatets føringer, rollefordeling, praksis og holdninger i oppfølgingen av døve og hørselshemmede barn, med vekt på informasjon om tegnspråk og tilnærming til flerspråklighet.
Oppdraget skal gjennomføres innenfor en sum på maksimalt 550 000 kroner ekskl. mva.
Oppdraget skal resultere i en skriftlig rapport som kan leveres i digital versjon, og som må beskrive metode og resultater av undersøkelsen.
Rapporten skal ferdigstilles og oversendes oppdragstaker seinest 30. november 2022.
";"550000";"9";"2022";"27"
"2022-336717";"Kunnskapsinnhenting - elektronisk stemming";"Kommunal- og distriktsdepartementet ";"Kunngjøring av konkurranse";"2022-02-28";"2022-03-31";"/Notice/Details/2022-336717";"73000000";"KDD ønsker som ledd i oppfølgingen av valglovutvalgets utredning å gjennomføre en kunnskapsinnhenting om elektronisk stemming. Studien skal undersøke elektronisk stemming både i kontrollerte og ukontrollerte omgivelser. Resultatene vil inngå i departementets videre vurderinger knyttet til elektronisk stemming, og utgjøre en viktig kilde til oppdatert kunnskap om denne formen å stemme.
Kunnskapsinnhentingen skal gi departementet oppdatert kunnskap om elektronisk stemming i kontrollerte og ukontrollerte omgivelser, og gi grunnlag for å veie muligheter, risikoer, gevinster og kostnader opp mot hverandre. Departementet vil på bakgrunn av funn i kunnskapsinnhentingen vurdere videre oppfølging av dette feltet, og om det på sikt kan være hensiktsmessig å gjennomføre mindre forsøk med enkelte løsninger.
Sikkerhetsaspektet og hvilke sårbarheter og risikoer innføring av mer teknologi vil føre til, og hvordan dette kan håndteres, vil være helt sentralt i disse vurderingene.
";"2500000";"9";"2022";"31"
"2022-380708";"Sammenligning av krav til yrkesfartøy og krav til fritidsfartøy";"Sjøfartsdirektoratet ";"Kunngjøring av konkurranse";"2022-02-27";"2022-03-28";"/Notice/Details/2022-380708";"71241000";"Sjøfartsdirektoratet ønsker en gap-analyse av byggekravene som stilles til fritidsbåter gjennom forskrift 15. januar 2016 nr. 35 om produksjon og omsetning av fritidsfartøy og vannscootere mv. og kravene som stilles til yrkesbåter gjennom aktuelle forskrifter og Nordisk Båtstandard for yrkesbåter (1990). Spesielt når det kommer til de minste fartøyene er det et stort behov for å få avklart forskjellene i regelverkene. Videre ønsker Sjøfartsdirektoratet et grunnlag for å vurdere hvilke endringer som kan gjøres i regelverket som gjelder for de minste yrkesfartøyene for å gjøre dette regelverket bedre og eventuelt harmonere det med fritidsbåtkravene, der dette kan være hensiktsmessig, uten at sikkerhetsnivået reduseres. Se mer beskrivelse i konkurransegrunnlaget.";"1600000";"9";"2022";"29"
"2022-362211";"Strømateriale, bedding til smågnagere til OUS HF";"SYKEHUSINNKJØP HF ";"Kunngjøring av konkurranse";"2022-02-25";"2022-04-08";"/Notice/Details/2022-362211";"03410000";"Anskaffelsens formål er å dekke Avdeling for komparativ medisin ved Oslo universitetssykehus HF sitt behov for strømaterial/bedding til smågnagere ved sine tre lokasjoner; Rikshospitalet, Radiumhospitalet og Ullevål sykehus.";NA;"8";"2022";"42"
"2022-344454";"Konsulentbistand til utvikling av kvalitetssystem (eQMS) og Design kontroll";"Universitetet i Oslo ";"Kunngjøring av konkurranse";"2022-02-25";"2022-03-18";"/Notice/Details/2022-344454";"73000000";"Seksjon for galenisk farmasi og samfunnsfarmasi ved Universitetet i Oslo ønsker å leie inn konsulentbistand til utvikling av et kvalitetssystem samt etablering av design kontroll prosess for et produkt innen kategorien medisinsk teknisk utstyr.";NA;"8";"2022";"21"
"2022-375583";"Casestudie av årsaker til dispensasjoner fra arealplaner etter plan- og bygningsloven, og forslag til tiltak som kan redusere antallet";"Kommunal- og distriktsdepartementet ";"Kunngjøring av konkurranse";"2022-02-24";"2022-03-21";"/Notice/Details/2022-375583";"73000000";"Kommunal- og distriktsdepartementet arbeider med å forbedre og effektivisere planprosessene og forenkle regelverket i plan- og bygningsloven. Det er et mål å redusere antallet dispensasjoner fra arealplaner. Slike dispensasjoner krever mye ressurser både fra kommunen, tiltakshaver, berørte sektormyndigheter, naboer og andre parter. Departementet ønsker derfor å få mer kunnskap om hvilke typer saker dispensasjonsbestemmelsen brukes og hva som er begrunnelsene for å søke om dispensasjon, og en oversikt over tiltak og virkemidler som kan redusere omfanget av dispensasjoner.
Sluttresultatet av studien skal være en rapport som skal leveres innen 1. november 2022.
";"700000";"8";"2022";"25"
